/*1.    9.1     The Shawshank Redemption (1994) 502, 588*/
/*2.    9.1     The Godfather (1972)    400, 029*/
3.      9.1     Inception (2010)        58, 361
4.      9.0     The Godfather: Part II (1974)   237, 606
/*5.    8.9     The Good, the Bad and the Ugly (1966)   153, 927*/
/*6.    8.9     Pulp Fiction (1994)     406, 207*/
/*7.    8.9     Schindler's List (1993) 268, 607*/
8.      8.8     Toy Story 3 (2010)      44, 708
/*9.    8.8     12 Angry Men (1957)     十二怒汉 114, 143*/
10.     8.8     One Flew Over the Cuckoo's Nest (1975)  207, 830
11.     8.8     Star Wars: Episode V - The Empire Strikes Back (1980)   270, 850
/*12.   8.8     The Dark Knight (2008)  449, 454*/
/*13.   8.8     The Lord of the Rings: The Return of the King (2003)    354, 586*/
14.     8.8     Star Wars: Episode IV - A New Hope (1977)       314, 727
15.     8.7     Seven Samurai (1954)    94, 287
/*16.   8.7     Casablanca (1942)       164, 181*/
17.     8.7     Goodfellas (1990)       222, 873
/*18.   8.7     Fight Club (1999)       371, 243*/
19.     8.7     City of God (2002)      161, 168
/*20.   8.7     The Lord of the Rings: The Fellowship of the Ring (2001)        378, 561*/
21.     8.7     Raiders of the Lost Ark (1981)  237, 509
22.     8.7     Rear Window (1954)      115, 752
23.     8.7     Psycho (1960)   139, 523
/*24.   8.7     The Usual Suspects (1995)       260, 717*/
25.     8.7     Once Upon a Time in the West (1968)     71, 670
/*26.   8.6     The Silence of the Lambs (1991) 238, 178*/
/*27.   8.6     The Matrix (1999)       370, 441*/
/*28.   8.6     Se7en (1995)    270, 372*/
/*29.   8.6     Memento (2000)  264, 274*/
30.     8.6     It's a Wonderful Life (1946)    99, 389
/*31.   8.6     The Lord of the Rings: The Two Towers (2002)    318, 864*/
32.     8.6     Sunset Blvd. (1950)     53, 179
33.     8.6     Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)     152, 888
34.     8.6     North by Northwest (1959)       91, 021
/*35.   8.6     The Professional (1994)  这个杀手不太冷     194, 021*/
36.     8.6     Citizen Kane (1941)     135, 597
37.     8.6     Apocalypse Now (1979)   169, 350
/*38.   8.6     Forrest Gump (1994)     291, 310*/
39.     8.5     American Beauty (1999)  285, 884
40.     8.5     American History X (1998)       218, 053
/*41.   8.5     Taxi Driver (1976)      151, 345*/
/*42.   8.5     Terminator 2: Judgment Day (1991)       230, 938*/
43.     8.5     Vertigo (1958)  89, 381
44.     8.5     Alien (1979)    176, 089
45.     8.5     Lawrence of Arabia (1962)       77, 709
/*46.   8.5     Saving Private Ryan (1998)      264, 396*/
47.     8.5     Amélie (2001)  175, 896
/*48.   8.5     WALL*E (2008)   174, 905*/
49.     8.5     The Shining (1980)      172, 901
50.     8.5     A Clockwork Orange (1971)       188, 941
